underlying_price,underlying_index,timestamp,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta,settlement_period,settlement_price
48181.94,BTC-19FEB21,1613068628283,9.7,0.0001,0.2205,0.02053577,187.94,0.004,0.0,BTC-19FEB21-37000-P,47792.78,5292405124,"[[0.0035, 0.5]]",115.74,0.0035,0.5,0.046,3.0,"[[0.046, 3.0]]",260.19,4.0,-33.3333,0.004,0.006,14.91049,-185.39371,-1.53308,2e-05,-0.13314,week,0.01
47792.78,index_price,1613068628283,71.3,0.0001,0.2,0.00026456,52.78,0.018,0.0,BTC-26FEB21-62000-C,47792.78,5292054982,[],0.0,0.0,0.0,0.0125,0.5,"[[0.0125, 0.5]]",105.57,,,,,2.05557,-3.72658,0.14442,0.0,0.00784,month,0.01
48181.94,BTC-19FEB21,1613068628283,14.6,0.0001,0.221,0.02128829,210.91,0.0035,0.0,BTC-19FEB21-35500-P,47792.78,5292403229,"[[0.0025, 0.5]]",122.08,0.0025,0.5,0.0515,3.0,"[[0.0515, 3.0]]",299.78,7.5,-12.5,0.003,0.0045,14.14303,-197.34076,-1.44327,1e-05,-0.12339,week,0.01
45673.83,SYN.BTC-13FEB21,1613068629297,0.0,0.0001,0.3385,0.13868043,82.3,,0.0,BTC-13FEB21-52000-P,47794.61,5292406335,[],0.0,0.0,0.0,0.156,3.0,"[[0.156, 3.0]]",231.62,,,,,0.69127,-18.26251,-2.20279,1e-05,-0.99148,day,
48876.48,SYN.BTC-5MAR21,1613068629296,0.0,0.0001,0.2055,0.00592118,48.92,,0.0,BTC-5MAR21-57000-C,47794.61,5292056566,[],0.0,0.0,0.0,0.0385,0.4,"[[0.0385, 0.4]]",96.1,,,,,22.13632,-25.11691,2.96512,3e-05,0.10864,week,
48184.49,BTC-19FEB21,1613068629290,42.7,0.0001,0.2205,0.0205187,181.23,0.0045,0.0,BTC-19FEB21-37500-P,47794.61,5292405628,"[[0.004, 0.5]]",114.22,0.004,0.5,0.0445,3.0,"[[0.0445, 3.0]]",248.28,8.0,-47.0588,0.0045,0.0085,15.24222,-182.74778,-1.57621,2e-05,-0.13747,week,0.01
50635.39,BTC-24SEP21,1613068629292,114.7,0.155,0.5545,0.35492492,100.0,0.345,0.0,BTC-24SEP21-44000-C,47794.61,5292406334,"[[0.144, 0.1]]",19.04,0.144,0.1,0.0,0.0,[],0.0,,,,,134.59184,-29.96822,112.50882,1e-05,0.71609,month,0.35
45255.39,BTC-12FEB21,1613068629290,45.1,0.0001,0.202,0.0024956,73.89,0.006,0.0,BTC-12FEB21-44000-P,47794.61,5292392924,[],0.0,0.0,0.0,0.0115,3.0,"[[0.0115, 3.0]]",147.83,2.9,-53.8462,0.0055,0.013,4.32959,-112.93938,-0.11336,0.00019,-0.16146,week,0.01
48191.29,BTC-19FEB21,1613068630304,0.0,0.0001,0.3935,0.19384246,57.25,,0.0,BTC-19FEB21-57500-P,47797.09,5292406536,[],0.0,0.0,0.0,0.3375,3.0,"[[0.3375, 3.0]]",367.4,,,,,3.0328,-11.48646,-11.73393,1e-05,-0.98225,week,0.32
48188.81,BTC-19FEB21,1613068630296,8.8,0.0001,0.2335,0.03395328,110.82,0.024,0.0,BTC-19FEB21-45000-P,47797.09,5292405382,"[[0.021, 0.4]]",84.47,0.021,0.4,0.0475,3.0,"[[0.0475, 3.0]]",137.29,5.6,-41.4634,0.0235,0.0415,24.30116,-178.16397,-3.38522,5e-05,-0.30535,week,0.04
45676.64,SYN.BTC-13FEB21,1613068630305,0.0,0.0001,0.2,5.21e-05,82.77,,0.0,BTC-13FEB21-53000-C,47797.09,5292402079,[],0.0,0.0,0.0,0.0045,0.5,"[[0.0045, 0.5], [0.008, 3.0]]",165.48,,,,,0.29189,-2.37965,0.0062,0.0,0.00323,day,
49916.93,BTC-25JUN21,1613068630306,363.3,0.3415,0.741,0.54148583,100.0,0.5385,0.0,BTC-25JUN21-24000-C,47797.09,5292400064,"[[0.17, 10.1], [0.1, 76.0]]",0.0,0.17,10.1,0.624,0.2,"[[0.624, 0.2]]",180.62,,,,,38.34569,-14.35548,71.84474,0.0,0.93487,month,0.53
